Luke Skywalker,172,77,Blond,Fair,Blue,19BBY,Male,Tatooine,Human
C-3PO,167,75,NA,Gold,Yellow,112BBY,NA,Tatooine,Droid
R2-D2,96,32,NA,"White, Blue",Red,33BBY,NA,Naboo,Droid
Darth Vader,202,136,NA,White,Yellow,41.9BBY,Male,Tatooine,Human
Leia Organa,150,49,Brown,Light,Brown,19BBY,Female,Alderaan,Human
Owen Lars,178,120,"Brown, Grey",Light,Blue,52BBY,Male,Tatooine,Human
Beru Whitesun Lars,165,75,Brown,Light,Blue,47BBY,Female,Tatooine,Human
R5-D4,97,32,NA,"White, Red",Red,,NA,Tatooine,Droid
Biggs Darklighter,183,84,Black,Light,Brown,24BBY,Male,Tatooine,Human
Obi-Wan Kenobi,182,77,"Auburn, White",Fair,Blue-Gray,57BBY,Male,Stewjon,Human
Anakin Skywalker,188,84,Blond,Fair,Blue,41.9BBY,Male,Tatooine,Human
Wilhuff Tarkin,180,,"Auburn, Grey",Fair,Blue,64BBY,Male,Eriadu,Human
Chewbacca,228,112,Brown,NA,Blue,200BBY,Male,Kashyyyk,Wookiee
Han Solo,180,80,Brown,Fair,Brown,29BBY,Male,Corellia,Human
Greedo,173,74,NA,Green,Black,44BBY,Male,Rodia,Rodian
Jabba Desilijic Tiure,175,1358,NA,"Green-Tan, Brown",Orange,600BBY,Hermaphrodite,Nal Hutta,Hutt
Wedge Antilles,170,77,Brown,Fair,Hazel,21BBY,Male,Corellia,Human
Jek Tono Porkins,180,110,Brown,Fair,Blue,,Male,Bestine IV,Human
Yoda,66,17,White,Green,Brown,896BBY,Male,,Yoda'S Species
Palpatine,170,75,Grey,Pale,Yellow,82BBY,Male,Naboo,Human
Boba Fett,183,78.2,Black,Fair,Brown,31.5BBY,Male,Kamino,Human
IG-88,200,140,NA,Metal,Red,15BBY,None,,Droid
Bossk,190,113,NA,Green,Red,53BBY,Male,Trandosha,Trandoshan
Lando Calrissian,177,79,Black,Dark,Brown,31BBY,Male,Socorro,Human
Lobot,175,79,NA,Light,Blue,37BBY,Male,Bespin,Human
Ackbar,180,83,NA,Brown Mottle,Orange,41BBY,Male,Mon Cala,Mon Calamari
Mon Mothma,150,,Auburn,Fair,Blue,48BBY,Female,Chandrila,Human
Arvel Crynyd,,,Brown,Fair,Brown,,Male,,Human
Wicket Systri Warrick,88,20,Brown,Brown,Brown,8BBY,Male,Endor,Ewok
Nien Nunb,160,68,NA,Grey,Black,,Male,Sullust,Sullustan
Qui-Gon Jinn,193,89,Brown,Fair,Blue,92BBY,Male,,Human
Nute Gunray,191,90,NA,Mottled Green,Red,,Male,Cato Neimoidia,Neimodian
Finis Valorum,170,,Blond,Fair,Blue,91BBY,Male,Coruscant,Human
Jar Jar Binks,196,66,NA,Orange,Orange,52BBY,Male,Naboo,Gungan
Roos Tarpals,224,82,NA,Grey,Orange,,Male,Naboo,Gungan
Rugor Nass,206,,NA,Green,Orange,,Male,Naboo,Gungan
Ric OliÉ,183,,Brown,Fair,Blue,,Male,Naboo,
Watto,137,,Black,"Blue, Grey",Yellow,,Male,Toydaria,Toydarian
Sebulba,112,40,NA,"Grey, Red",Orange,,Male,Malastare,Dug
Quarsh Panaka,183,,Black,Dark,Brown,62BBY,Male,Naboo,
Shmi Skywalker,163,,Black,Fair,Brown,72BBY,Female,Tatooine,Human
Darth Maul,175,80,NA,Red,Yellow,54BBY,Male,Dathomir,Zabrak
Bib Fortuna,180,,NA,Pale,Pink,,Male,Ryloth,Twi'Lek
Ayla Secura,178,55,NA,Blue,Hazel,48BBY,Female,Ryloth,Twi'Lek
Dud Bolt,94,45,NA,"Blue, Grey",Yellow,,Male,Vulpter,Vulptereen
Gasgano,122,,NA,"White, Blue",Black,,Male,Troiken,Xexto
Ben Quadinaros,163,65,NA,"Grey, Green, Yellow",Orange,,Male,Tund,Toong
Mace Windu,188,84,NA,Dark,Brown,72BBY,Male,Haruun Kal,Human
Ki-Adi-Mundi,198,82,White,Pale,Yellow,92BBY,Male,Cerea,Cerean
Kit Fisto,196,87,NA,Green,Black,,Male,Glee Anselm,Nautolan
Eeth Koth,171,,Black,Brown,Brown,,Male,Iridonia,Zabrak
Adi Gallia,184,50,NA,Dark,Blue,,Female,Coruscant,Tholothian
Saesee Tiin,188,,NA,Pale,Orange,,Male,Iktotch,Iktotchi
Yarael Poof,264,,NA,White,Yellow,,Male,Quermia,Quermian
Plo Koon,188,80,NA,Orange,Black,22BBY,Male,Dorin,Kel Dor
Mas Amedda,196,,NA,Blue,Blue,,Male,Champala,Chagrian
Gregar Typho,185,85,Black,Dark,Brown,,Male,Naboo,Human
CordÉ,157,,Brown,Light,Brown,,Female,Naboo,Human
Cliegg Lars,183,,Brown,Fair,Blue,82BBY,Male,Tatooine,Human
Poggle The Lesser,183,80,NA,Green,Yellow,,Male,Geonosis,Geonosian
Luminara Unduli,170,56.2,Black,Yellow,Blue,58BBY,Female,Mirial,Mirialan
Barriss Offee,166,50,Black,Yellow,Blue,40BBY,Female,Mirial,Mirialan
Dormé,165,,Brown,Light,Brown,,Female,Naboo,Human
Dooku,193,80,White,Fair,Brown,102BBY,Male,Serenno,Human
Bail Prestor Organa,191,,Black,Tan,Brown,67BBY,Male,Alderaan,Human
Jango Fett,183,79,Black,Tan,Brown,66BBY,Male,Concord Dawn,Human
Zam Wesell,168,55,Blonde,"Fair, Green, Yellow",Yellow,,Female,Zolan,Clawdite
Dexter Jettster,198,102,NA,Brown,Yellow,,Male,Ojom,Besalisk
Lama Su,229,88,NA,Grey,Black,,Male,Kamino,Kaminoan
Taun We,213,,NA,Grey,Black,,Female,Kamino,Kaminoan
Jocasta Nu,167,,White,Fair,Blue,,Female,Coruscant,Human
Ratts Tyerell,79,15,NA,"Grey, Blue",NA,,Male,Aleen Minor,Aleena
R4-P17,96,,NA,"Silver, Red","Red, Blue",,Female,,
Wat Tambor,193,48,NA,"Green, Grey",NA,,Male,Skako,Skakoan
San Hill,191,,NA,Grey,Gold,,Male,Muunilinst,Muun
Shaak Ti,178,57,NA,"Red, Blue, White",Black,,Female,Shili,Togruta
Grievous,216,159,NA,"Brown, White","Green, Yellow",,Male,Kalee,Kaleesh
Tarfful,234,136,Brown,Brown,Blue,,Male,Kashyyyk,Wookiee
Raymus Antilles,188,79,Brown,Light,Brown,,Male,Alderaan,Human
Sly Moore,178,48,NA,Pale,White,,Female,Umbara,
Tion Medon,206,80,NA,Grey,Black,,Male,Utapau,Pau'An
Finn,,,Black,Dark,Dark,,Male,,Human
Rey,,,Brown,Light,Hazel,,Female,,Human
Poe Dameron,,,Brown,Light,Brown,,Male,,Human
BB8,,,NA,None,Black,,None,,Droid
Captain Phasma,,,,,,,Female,,
Padmé Amidala,165,45,Brown,Light,Brown,46BBY,Female,Naboo,Human
